Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,FCRA Regulated,FCRA Note,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
Equifax,EFX_BEACON_5,Equifax Beacon 5.0 Score,Equifax Beacon 5.0 FICO score. Predicts likelihood of serious delinquency (90+ DPD) within 24 months.,integer,score,300,850,-1=No Score / Insufficient History; -2=Deceased; -3=Fraud Alert on File; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,482,850,698,712,70,41.8,0.017,0.3,522,850,722,732,63,37.5,0.011,0.27,582,850,748,758,53,34.8,0.008,0.24,502,850,682,692,76,44.2,0.021,0.32
Equifax,EFX_BEACON_9,Equifax Beacon 9.0 Score,Equifax Beacon 9.0 score with enhanced predictive power using trended credit data.,integer,score,300,850,-1=No Score; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,478,850,692,708,73,42.5,0.019,0.31,518,850,718,728,66,38.5,0.013,0.28,578,850,742,752,56,35.8,0.009,0.25,498,850,678,688,79,45.2,0.023,0.33
Equifax,EFX_TOT_REV_TL,Total Revolving Tradelines,Total count of revolving credit tradeline accounts on the Equifax file.,integer,depth_of_file,0,999,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,60,6.8,6,4.5,10.8,0.032,0.06,0,80,9.5,8,6.2,8.5,0.025,0.05,0,65,10.8,10,6.8,7.2,0.02,0.04,0,55,5.8,5,4.2,12.5,0.038,0.07
Equifax,EFX_TOT_INST_TL,Total Installment Tradelines,Total count of installment tradeline accounts on the Equifax file.,integer,depth_of_file,0,999,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,40,5.2,4,3.8,9.5,0.03,0.05,0,35,4.5,4,3.2,7.8,0.025,0.04,0,30,5.8,5,3.5,6.5,0.018,0.03,0,42,4.8,4,3.5,11.2,0.035,0.06
Equifax,EFX_REV_UTIL_PCT,Revolving Utilization Percentage,Aggregate revolving balance divided by aggregate revolving credit limit on the Equifax file.,float,utilization,0,999,-1=No Revolving Trades; -5=No Hit; -7=Not Available; 998=Balance with $0 Limit,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,999,41.8,34,31.5,27.8,0.04,0.13,0,999,37.5,29,30.2,31.5,0.033,0.17,0,999,27.8,19,25.2,22.1,0.024,0.09,0,999,47.5,41,33.8,30.1,0.046,0.15
Equifax,EFX_MTHS_OLDEST_TL,Months Since Oldest Tradeline Opened,Age in months of the oldest tradeline on the Equifax credit file.,integer,time_on_file,0,999,-1=No Tradelines; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,1,620,172,160,90,18.2,0.024,0.1,1,660,196,184,96,15.8,0.019,0.08,6,720,232,220,102,14.2,0.014,0.07,1,590,148,135,86,19.8,0.028,0.11
Equifax,EFX_NUM_SATISF_TL,Number of Satisfactory Tradelines,Count of tradelines rated as satisfactory (never delinquent or fully paid as agreed).,integer,payment_history,0,999,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,80,15.2,13,9.5,12.5,0.028,0.08,0,100,18.5,16,11.2,10.2,0.022,0.06,0,90,22.8,20,12.5,8.8,0.018,0.05,0,75,13.5,11,8.8,14.2,0.032,0.09
Equifax,EFX_NUM_DEROG_TL,Number of Derogatory Tradelines,"Count of tradelines with derogatory status (charge-off, repossession, foreclosure, collection).",integer,derogatory,0,99,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,12,0.65,0,1.5,30.2,0.052,0.14,0,10,0.48,0,1.2,26.5,0.045,0.11,0,6,0.18,0,0.6,20.2,0.035,0.08,0,15,0.82,0,1.8,34.5,0.06,0.16
Equifax,EFX_TOT_BAL_EXCL_MORT,Total Balance Excluding Mortgage,Sum of current balances across all non-mortgage tradelines.,integer,balance,0,9999999,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,800000,42500,25000,55000,14.5,0.035,0.07,0,600000,32800,18000,42000,12.2,0.03,0.05,0,500000,28500,15000,38000,10.5,0.022,0.04,0,750000,38200,22000,50000,16.2,0.042,0.08
Equifax,EFX_NUM_DPD30_EVER,Number of 30+ DPD Ever,Total count of tradelines that have ever been 30 or more days past due.,integer,delinquency,0,99,-1=No Data; -5=No Hit; -7=Not Available,Yes,Equifax is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,25,1.8,1,2.8,28.5,0.045,0.13,0,30,1.5,0,2.5,24.8,0.038,0.1,0,15,0.6,0,1.2,19.5,0.028,0.07,0,28,2.2,1,3.2,32.2,0.052,0.15
