Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
TransUnion,TU_FICO8,TransUnion FICO Score 8,FICO Score 8 calculated from TransUnion data. Industry-standard risk score predicting 90+ DPD in 24 months.,integer,score,300,850,-1=No Score / Thin File; -2=Deceased; -4=Frozen File; -5=No Hit; -7=Not Available,485,850,700,715,71,42.0,0.018,0.3,525,850,724,734,64,37.8,0.012,0.27,585,850,750,760,54,35.0,0.009,0.24,505,850,684,694,77,44.5,0.022,0.32
TransUnion,TU_FICO_AUTO8,TransUnion FICO Auto Score 8,Industry-specific FICO auto score from TransUnion. Optimized for auto lending risk prediction.,integer,score,250,900,-1=No Score; -5=No Hit; -7=Not Available,310,900,665,680,82,44.5,0.02,0.33,350,900,710,725,72,35.2,0.015,0.18,400,900,740,755,62,30.5,0.01,0.14,330,900,650,665,88,42.2,0.024,0.25
TransUnion,TU_CV_LINK_SCORE,CreditVision Link Score,TransUnion CreditVision Link score leveraging trended credit data and alternative data sources.,integer,score,300,850,-1=No Score; -5=No Hit; -7=Not Available,380,850,685,700,78,40.2,0.022,0.28,420,850,712,725,70,36.5,0.016,0.25,460,850,738,748,60,33.2,0.012,0.22,360,850,668,680,85,43.8,0.026,0.3
TransUnion,TU_TOT_OPEN_TL,Total Open Tradelines (TU),Total count of currently open tradelines on the TransUnion credit file.,integer,depth_of_file,0,999,-1=No Data; -5=No Hit; -7=Not Available,0,82,9.0,8,5.9,12.2,0.034,0.07,0,115,12.2,10,7.5,9.8,0.027,0.05,1,88,14.0,12,8.0,8.5,0.021,0.04,0,92,7.8,7,5.7,13.8,0.039,0.08
TransUnion,TU_REVOL_UTIL,Revolving Utilization (TU),Total revolving balances divided by total revolving limits on the TransUnion file.,float,utilization,0,999,-1=No Revolving Trades; -5=No Hit; -7=Not Available; 998=Balance with $0 Limit,0,999,43.0,36,32.5,28.0,0.041,0.13,0,999,38.8,31,30.8,31.8,0.034,0.17,0,999,29.0,20,26.0,22.4,0.025,0.09,0,999,48.5,42,34.5,30.8,0.047,0.15
TransUnion,TU_NUM_30DPD_24M,Number of 30+ DPD in Last 24 Months (TU),Count of tradelines reported 30+ days past due in the last 24 months on TransUnion.,integer,delinquency,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,18,0.72,0,1.6,34.5,0.052,0.17,0,22,0.58,0,1.3,30.2,0.045,0.14,0,12,0.22,0,0.7,24.5,0.033,0.11,0,20,0.88,0,1.9,38.2,0.06,0.19
TransUnion,TU_NUM_90DPD_EVER,Number of 90+ DPD Ever (TU),Total count of tradelines that have ever been 90+ days past due on TransUnion file.,integer,delinquency,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,12,0.45,0,1.1,36.8,0.058,0.15,0,15,0.35,0,0.9,32.5,0.05,0.12,0,8,0.12,0,0.5,26.2,0.038,0.09,0,14,0.58,0,1.3,40.5,0.065,0.17
TransUnion,TU_CV_PAYMENT_VELOCITY,CreditVision Payment Velocity,TransUnion CreditVision trended metric measuring the velocity of balance paydown over 24 months. Higher values indicate faster paydown.,float,trended_data,0,100,-1=Insufficient Data; -5=No Hit; -7=Not Available,0,100,52.5,55,22,22.5,0.03,0.11,0,100,58.2,62,20,25.8,0.028,0.13,0,100,65.5,70,18,20.2,0.022,0.08,0,100,48.8,50,24,26.5,0.035,0.14
TransUnion,TU_CV_BAL_TREND_24M,CreditVision Balance Trend 24 Months,"TransUnion CreditVision indicator of balance trajectory over 24 months. Categories: 1=Decreasing, 2=Stable, 3=Increasing, 4=Highly Increasing.",categorical,trended_data,1,4,1=Decreasing; 2=Stable; 3=Increasing; 4=Highly Increasing; -1=Insufficient Data; -5=No Hit; -7=Not Available,1,4,2.1,2,0.9,18.5,0.032,0.1,1,4,2.0,2,0.8,20.2,0.028,0.12,1,4,1.8,2,0.7,15.5,0.022,0.07,1,4,2.2,2,0.9,22.8,0.038,0.13
TransUnion,TU_MTHS_SINCE_OLDEST,Months Since Oldest Tradeline (TU),Number of months since the oldest tradeline was opened on TransUnion.,integer,time_on_file,0,999,-1=No Tradelines; -5=No Hit; -7=Not Available,1,615,170,158,91,18.5,0.025,0.1,1,655,194,182,97,16.0,0.02,0.08,6,710,230,218,104,14.3,0.015,0.07,1,585,146,134,87,19.9,0.029,0.11
