Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
Performance,PERF_TARGET_30DPD_12M,Target: 30+ DPD in 12 Months,"Binary target variable: 1 if the account reached 30+ days past due at any point within the first 12 months of origination, 0 otherwise.",binary,target,0,1,0=No 30+ DPD (Good); 1=30+ DPD (Bad); -1=Immature / Insufficient Observation; -7=Not Available,0,1,0.082,0,0.27,,0.018,,0,1,0.065,0,0.25,,0.015,,0,1,0.028,0,0.17,,0.01,,0,1,0.098,0,0.3,,0.022,
Performance,PERF_TARGET_60DPD_12M,Target: 60+ DPD in 12 Months,Binary target variable: 1 if the account reached 60+ days past due within 12 months of origination.,binary,target,0,1,0=No 60+ DPD (Good); 1=60+ DPD (Bad); -1=Immature; -7=Not Available,0,1,0.048,0,0.21,,0.015,,0,1,0.038,0,0.19,,0.012,,0,1,0.015,0,0.12,,0.008,,0,1,0.058,0,0.23,,0.018,
Performance,PERF_TARGET_90DPD_24M,Target: 90+ DPD in 24 Months,Binary target variable: 1 if the account reached 90+ days past due within 24 months. Common definition of 'bad' for credit scorecard development.,binary,target,0,1,0=No 90+ DPD (Good); 1=90+ DPD (Bad); -1=Immature; -7=Not Available,0,1,0.042,0,0.2,,0.014,,0,1,0.032,0,0.18,,0.011,,0,1,0.012,0,0.11,,0.007,,0,1,0.052,0,0.22,,0.016,
Performance,PERF_TARGET_CHARGEOFF_24M,Target: Charge-off in 24 Months,Binary target variable: 1 if the account was charged off within 24 months of origination.,binary,target,0,1,0=Not Charged Off; 1=Charged Off; -1=Immature; -7=Not Available,0,1,0.028,0,0.17,,0.012,,0,1,0.035,0,0.18,,0.013,,0,1,0.005,0,0.07,,0.005,,0,1,0.045,0,0.21,,0.015,
Performance,PERF_WORST_DPD_12M,Worst Delinquency Status 12 Months,"Worst delinquency bucket reached in the first 12 months. 0=Current, 1=30DPD, 2=60DPD, 3=90DPD, 4=120DPD, 5=150+DPD, 6=Charge-off.",ordinal,performance,0,6,0=Current; 1=30 DPD; 2=60 DPD; 3=90 DPD; 4=120 DPD; 5=150+ DPD; 6=Charge-off/Write-off; -1=Immature; -7=Not Available,0,6,0.18,0,0.65,,0.02,,0,6,0.15,0,0.58,,0.018,,0,6,0.06,0,0.35,,0.012,,0,6,0.22,0,0.72,,0.025,
Performance,PERF_MONTHS_ON_BOOK,Months on Book,Number of months since account origination/booking.,integer,performance,0,999,-1=Pre-booking; -7=Not Available,1,84,28,24,18,,0.015,,1,240,42,35,30,,0.012,,1,360,55,42,45,,0.01,,1,84,22,18,16,,0.018,
Performance,PERF_CURRENT_BAL,Current Outstanding Balance,Current outstanding principal balance on the account.,float,performance,0,99999999,-1=Closed; -7=Not Available,0,120000,18500,15000,12000,,0.02,,0,100000,4200,2500,5500,,0.018,,0,5000000,265000,220000,195000,,0.015,,0,100000,10500,8000,9000,,0.022,
Performance,PERF_NUM_PMTS_MADE,Number of Payments Made,Total count of payments received since origination.,integer,performance,0,999,-1=Pre-first-payment; -7=Not Available,0,84,25,22,16,,0.015,,0,240,38,32,28,,0.012,,0,360,52,40,42,,0.01,,0,84,20,16,14,,0.018,
Performance,PERF_NUM_MISSED_PMTS,Number of Missed Payments,Total count of missed or late payments since origination.,integer,performance,0,999,-7=Not Available,0,24,0.8,0,2.0,,0.025,,0,30,0.6,0,1.5,,0.022,,0,18,0.3,0,0.8,,0.015,,0,20,1.0,0,2.5,,0.03,
Performance,PERF_LOSS_AMOUNT,Net Loss Amount,Net dollar loss on the account after recoveries (only populated for charged-off accounts).,float,loss,0,99999999,0=No Loss / Active Account; -1=Not Yet Resolved; -7=Not Available,0,85000,450,0,3500,,0.015,,0,65000,280,0,2200,,0.012,,0,500000,820,0,12000,,0.008,,0,75000,520,0,4000,,0.018,
Performance,PERF_ACCOUNT_STATUS,Account Status,Current status of the account.,categorical,performance,1,8,1=Current/Open; 2=30 DPD; 3=60 DPD; 4=90 DPD; 5=120+ DPD; 6=Charge-off; 7=Paid in Full; 8=Closed by Customer; -7=Not Available,1,8,1.8,1,1.5,,0.02,,1,8,1.6,1,1.3,,0.018,,1,8,1.3,1,0.9,,0.012,,1,8,2.0,1,1.7,,0.025,
Performance,PERF_ORIGINATION_DATE,Origination Date,"Date the account was originated/booked, stored as YYYYMMDD integer.",date,performance,19900101,20261231,-7=Not Available,20180101,20241231,,,,,0.01,,20150101,20241231,,,,,0.008,,20100101,20241231,,,,,0.006,,20190101,20241231,,,,,0.012,
Performance,PERF_INTEREST_RATE,Contract Interest Rate,"Annual interest rate on the account at origination, expressed as a percentage.",float,pricing,0,40,-7=Not Available,0.9,28,7.5,6.8,4.2,,0.022,,0,35,21.5,22.9,6.5,,0.018,,2.5,10,6.2,6.5,1.5,,0.015,,3.5,36,12.8,11.5,6.8,,0.025,
